"Component";"Component Name";"Category Code";"Category String";"Sequence No";"Message";"Description";"Exception Class";
"LNK";"LINKING";"8";"CODE_ERROR";"112";"Unable to delete all links from this objects. Object %1$d Context %2$d";"";"";
"REM";"REMINDER";"8";"CODE_ERROR";"1";"Required value "user" was not supplied.";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"2";"Required value "End Date" was not supplied.";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"3";"Required value "Title" was not supplied.";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"4";"Unable to insert reminder";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"5";"Unable to update reminder";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"6";"Unable to delete reminder";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"7";"Unable to load reminder";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"8";"Unable to list reminder";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"REM";"REMINDER";"8";"CODE_ERROR";"9";"Cannot find reminder (identifier %d). Context %d.";"TODO";"com.openexchange.groupware.reminder.ReminderException";
"USR";"USER";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"5";"Cannot get database connection.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"2";"Cannot build distinguished name from %s.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"6";"Cannot clone object %1$s.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"7";"SQL Problem: "%s".";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"8";"Hash algorithm %s isn't found.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"9";"Encoding %s cannot be used.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"10";"Cannot find user with identifier %1$s in context %2$d.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"11";"Found two user with same identifier %1$s in context %2$d.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"8";"CODE_ERROR";"12";"Problem putting/removing an object into/from the cache.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"10";"SETUP_ERROR";"1";"Cannot find property %s.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"10";"SETUP_ERROR";"3";"Class %s can not be loaded.";"TODO";"com.openexchange.groupware.ldap.UserException";
"USR";"USER";"10";"SETUP_ERROR";"4";"Cannot instantiate class %s.";"TODO";"com.openexchange.groupware.ldap.UserException";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"2";"Corrupt AJP package #%d: First two bytes do not indicate a package from server to container: %s %s
Wrong AJP package's data:
%s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"3";"Socket closed by web server";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"4";"No data provided from web server: input stream returned "-1" while reading AJP magic bytes in package #%d";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"7";"Unknown Request Prefix Code: %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"8";"Missing payload data in client's body chunk package";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"12";"Unparseable header field %s in forward request package";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"13";"String parse exception: No ending 0x00 found";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"16";"An I/O error occurred: %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"19";"Cookie JSESSIONID contains non-matching JVM route: %s not equal to %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"20";"Unexpected empty body package received from web server. Total-Received: %d | Content-Length: %d";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"6";"SOCKET_CONNECTION";"21";"AJP server socket could not be bound to port %d. Probably another process is already listening on this port.";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"7";"INTERNAL_ERROR";"1";"";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"5";"AJP connection is not set to status "ASSIGNED"";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"6";"Response package exceeds max package size value of 8192k: %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"9";"Empty SEND_BODY_CHUNK package MUST NOT be sent";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"10";"Integer value exceeds max allowed value (65535): %d";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"11";"Invalid content-type header value: %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"14";"Unsupported encoding: %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"15";"No attribute name could be found for code: %d";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"8";"CODE_ERROR";"17";"A messaging error occurred: %s";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"AJP";"AJP";"10";"SETUP_ERROR";"18";"Missing property AJP_JVM_ROUTE in file "ajp.properties"";"TODO";"com.openexchange.tools.ajp13.AJPv13Exception";
"IFO";"INFOSTORE";"1";"USER_INPUT";"300";"The requested item does not exist.";"The infoitem does not exist, so the permissions cannot be loaded.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"301";"Could not load documents to check the permissions";"To check permissions infoitems must be loaded to find their folderId and creator.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"400";"You do not have sufficient read permissions.";"The User does not have read permissions on the requested Infoitem. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"401";"You do not have sufficient read permissions.";"The User does not have read permissions on the requested Infoitem. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"402";"You do not have sufficient permissions to create objects in this folder.";"The user may not create objects in the given folder. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"403";"You are not allowed to update this item.";"The user doesn't have the required write permissions to update the infoitem.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"404";"You are not allowed to create objects in the target folder.";"The user isn't allowed to create objects in the target folder when moving an infoitem.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"406";"You do not have sufficient permission to delete this version.";"The user must be allowed to delete the object in order to delete a version of it.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"407";"You do not have sufficient permissions to read objects in this folder.";"The user may not read objects in the given folder. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"408";"You do not have sufficient permissions to read objects in this folder.";"The user may not read objects in the given folder. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"409";"You do not have sufficient permissions to read objects in this folder.";"The user may not read objects in the given folder. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"410";"You do not have sufficient permissions to read objects in this folder.";"The user may not read objects in the given folder. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"411";"You do not have sufficient permissions to read objects in this folder.";"The user may not read objects in the given folder. ";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"417";"You need write permissions to unlock a document.";"The user does not have sufficient write permissions to unlock this infoitem.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"418";"You need write permissions to lock a document.";"The user does not have sufficient write permissions to lock this infoitem.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"438";"The document you requested doesn't exist.";"The document could not be loaded because it doesn't exist.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"441";"Files attached to InfoStore items must have unique names. Filename: %s. The other document with this file name is %s.";"To remain consistent in WebDAV no two current versions in a given folder may contain a file with the same filename. The user must either choose a different filename, or switch the other file to a version with a different filename.";"";
"IFO";"INFOSTORE";"1";"USER_INPUT";"1700";"This folder is a virtual folder. It cannot contain documents.";"The folders to which this user has access, but that belong to other users, are collected in a virtual folder. This virtual folder cannot contain documents itself.";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"219";"Cannot pre-fetch results.";"Thrown when a result cannot be prefetched. This indicates a problem with the DB Connection. Have a look at the underlying SQLException";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"221";"Cannot pre-fetch results.";"Thrown when a result cannot be prefetched. This indicates a problem with the DB Connection. Have a look at the underlying SQLException";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"223";"Cannot pre-fetch results.";"Thrown when a result cannot be prefetched. This indicates a problem with the DB Connection. Have a look at the underlying SQLException";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"225";"Cannot pre-fetch results.";"Thrown when a result cannot be prefetched. This indicates a problem with the DB Connection. Have a look at the underlying SQLException";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"601";"Cannot pre-fetch results.";"Thrown when a result cannot be prefetched. This indicates a problem with the DB Connection. Have a look at the underlying SQLException";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"1900";"Could not fetch result from result set. Probably the database may be busy or not running. Please try again.";"Could not fetch result from result set. Probably the database may be busy or not running. Please try again.";"";
"IFO";"INFOSTORE";"4";"TRY_AGAIN";"1903";"Could not fetch result from result set. Probably the database may be busy or not running. Please try again.";"Could not fetch result from result set. Probably the database may be busy or not running. Please try again.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"203";"Could not access file store.";"This indicates a problem accessing the underlying filestorage. Look at the exceptions given as cause for this one.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"231";"Could not remove file. %s";"An error occurred while removing the file from the file storage.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"419";"The file store could not be reached.";"The file store couldn't be reached.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"435";"Cannot reach the file store so I cannot remove the documents.";"Cannot reach the file store so some documents were not deleted.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"436";"Cannot remove file. Database and file store are probably inconsistent. Please contact an administrator to run the recovery tool.";"Cannot reach the file store so some documents were not deleted. This propably means that file store and db are inconsistent. Run the recovery tool.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"437";"Could not remove file from file store.";"Could not remove file from file store.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"439";"The file store could not be reched";"The file store couldn't be reached and is probably down.";"";
"IFO";"INFOSTORE";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"440";"The file could not be retrieved.";"The file could not be found in the file store. This means either that the file store was not available or that database and file store are inconsistent. Run the recovery tool.";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"230";"Cannot find file store location.";"A Context Exception occurred while trying to open the filestorage. Look at the Context Exception for further details";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"232";"Could not remove file. %s";"An error occurred while removing the file from the file storage.";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"233";"Could not remove file. %s";"An error occurred while removing the file from the file storage.";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"413";"Could not iterate result";"The system couldn't iterate the result dataset. This can have numerous exciting causes.";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"414";"Could not iterate result";"The system couldn't iterate the result dataset. This can have numerous exciting causes.";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"420";"Could not generate new ID.";"The IDGenerator threw an SQL Exception look at that one to find out what's wrong.";"";
"IFO";"INFOSTORE";"7";"INTERNAL_ERROR";"1902";"Cannot close database connection";"Cannot close database connection";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"200";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"201";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"202";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"204";"Could not get file store location.";"The context specific data about a filestorage could not be loaded. Look at the underlying exceptions for a hint.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"214";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"215";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"216";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"217";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"218";"Incorrect SQL Query: %s";"Indicates a faulty SQL Query. Only R&D can fix this";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"220";"Incorrect SQL Query: %s";"Indicates a faulty SQL Query. Only R&D can fix this";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"222";"Incorrect SQL Query: %s";"Indicates a faulty SQL Query. Only R&D can fix this";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"224";"Incorrect SQL Query.";"Indicates a faulty SQL Query. Only R&D can fix this";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"226";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"227";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"228";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"229";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"234";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"235";"Invalid SQL Query: %s";"A faulty SQL Query was sent to the SQL server. This can only be fixed in R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"302";"The folder %d is not an Infostore folder";"The client tries to put an infoitem into a non infoitem folder.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"500";"Illegal argument: Document %d contains no file";"A WebdavPath for a document without an attached file was requested. In WebDAV only infoitems with files are visible. This points to a problem with the cola supply for the developer and can only be fixed by R&D.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"501";"Folder %d has two subfolders named %s. Your database is not consistent.";"A folder contains two folders with the same folder name. This points to an inconsistency in the database, as the second folder by the same name should not have been created. This will certainly cause some headaches in R&D.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"502";"Incorrect SQL Query: %s";"A faulty SQL statement was sent to the DB. R&D must fix this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"600";"Incorrect SQL Query: %s";"Indicates a faulty SQL Query. Only R&D can fix this";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"800";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"801";"Error in SQL Update";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"802";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"803";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"804";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"805";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"806";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"807";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"900";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"901";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"902";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"903";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"904";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"905";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"906";"Invalid SQL: '%s'";"Indicates a faulty SQL query or a problem with the database. Ususally only R&D can do anything about this.";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1000";"Invalid SQL query: %s";"An invalid SQL query was used sent to the SQL Server. This can only be fixed by R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1001";"Invalid SQL query: %s";"An invalid SQL query was used sent to the SQL Server. This can only be fixed by R&D";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1100";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1101";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1200";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1201";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1300";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1301";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1400";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1401";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1500";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1501";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1600";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1601";"Invalid SQL Query : %s";"An invalid SQL Query was sent to the server";"";
"IFO";"INFOSTORE";"8";"CODE_ERROR";"1901";"Invalid SQL query: %s";"An invalid query was sent to the database.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"405";"Could not delete all objects.";"Not all infoitems in the given folder could be deleted. This may be due to the infoitems being modified since the last request, or the objects might not even exist anymore or the user doesn't have enough delete permissions on certain objects.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"415";"This document is locked.";"The infoitem was locked by some other user. Only the user that locked the item (the one that modified the entry) can modify a locked infoitem.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"416";"You cannot unlock this document.";"The infoitem was locked by some other user. Only the user that locked the item and the creator of the item can unlock a locked infoitem.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"700";"Could not delete DocumentMetadata %d. Please try again.";"The DocumentMetadata entry in the DB for the given resource could not be created. This is mostly due to someone else modifying the entry. This can also mean, that the entry has been deleted already.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"1302";"The document could not be updated because it was modified. Reload the view.";"The document could not be updated because it was modified.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"1303";"The document was updated in between do and undo. The Database is now probably inconsistent.";"The document was updated in between do and undo. The Database is now probalby inconsistent.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"1402";"The document could not be updated because it was modified. Reload the view.";"The document could not be updated because it was modified.";"";
"IFO";"INFOSTORE";"9";"CONCURRENT_MODIFICATION";"1403";"The document was updated in between do and undo. The Database is now probalby inconsistent.";"The document was updated in between do and undo. The Database is now probably inconsistent.";"";
"IFO";"INFOSTORE";"12";"TRUNCATED";"100";"Some fields have values, that are too long";"The User entered values that are to long for the database schema.";"";
"LGI";"LOGIN";"1";"USER_INPUT";"2";"Too few (%d) login attributes.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"1";"USER_INPUT";"4";"Too few (%d) login attributes.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"1";"USER_INPUT";"6";"Invalid credentials.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"3";"PERMISSION";"1";"Account "%s" is locked.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"4";"TRY_AGAIN";"2";"Account "%s" is not ready yet.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"3";"Problem while communicating with external authorization.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"5";"Login not possible at the moment. Please try again later.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"10";"Database down.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"8";"CODE_ERROR";"1";"Unknown problem: "%s".";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"8";"CODE_ERROR";"3";"Unknown problem: "%s".";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"8";"CODE_ERROR";"4";"Instantiating the class failed.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"8";"CODE_ERROR";"7";"URL "%s" is malformed.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"8";"CODE_ERROR";"7";"Instantiating the class failed.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"10";"SETUP_ERROR";"5";"Class %1$s can not be found.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"10";"SETUP_ERROR";"6";"Missing property %1$s in system.properties.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"10";"SETUP_ERROR";"8";"Link is not implemented.";"TODO";"com.openexchange.groupware.integration.SetupLinkException";
"LGI";"LOGIN";"10";"SETUP_ERROR";"8";"Class %1$s can not be found.";"TODO";"com.openexchange.sessiond.LoginException";
"LGI";"LOGIN";"10";"SETUP_ERROR";"9";"Missing property %1$s in server.properties.";"TODO";"com.openexchange.sessiond.LoginException";
"DBP";"DB_POOLING";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"1";"Cannot get connection to config DB.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"3";"Cannot get connection to database %d.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"12";"Connection used for %1$d milliseconds.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"6";"SOCKET_CONNECTION";"4";"Cannot set schema in database connection.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"2";"Resolving database for context %1$d and server %2$d not possible!";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"5";"Null is returned to connection pool.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"6";"Problem with executing SQL: %s";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"7";"Cannot get information for pool %d.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"9";"Cannot return connection to pool %d.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"11";"%s is not initialized.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"13";"%1$d statements aren't closed.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"8";"CODE_ERROR";"14";"Found not committed transaction.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"10";"SETUP_ERROR";"8";"Driver class missing.";"TODO";"com.openexchange.server.DBPoolingException";
"DBP";"DB_POOLING";"10";"SETUP_ERROR";"10";"Server name is not defined.";"TODO";"com.openexchange.server.DBPoolingException";
"CTX";"CONTEXT";"1";"USER_INPUT";"10";"Cannot find context "%s".";"TODO";"com.openexchange.groupware.contexts.ContextException";
"CTX";"CONTEXT";"4";"TRY_AGAIN";"7";"Updating database ... Try again later.";"TODO";"com.openexchange.groupware.contexts.ContextException";
"CTX";"CONTEXT";"5";"SUBSYSTEM_OR_SERVICE_DOWN";"5";"Cannot get connection to database.";"TODO";"com.openexchange.groupware.contexts.ContextException";
"CTX";"CONTEXT";"7";"INTERNAL_ERROR";"3";"Cannot put object %s into cache.";"TODO";"com.openexchange.groupware.contexts.ContextException";
